Title ID HEX,Title ID DEC,Serial Number,Title Name,Publisher,Region,Rating,Version,Media Type,Init Flags,Entry Point,Cert Timestamp,MD5 Checksum
0x4541038B,1161888651,EA-907,,Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8DDE8CD) Retail,Fri Sep 23 03:21:41 2005,2DA64A90F21A33E1D0E9956B877F99C7
0x45410026,1161887782,EA-038,007": NightFire",Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8F2E507) Retail,Thu Oct 24 07:19:50 2002,BCA5F7CCCD764E02DBE7E724904827BB
0x55530036,1431502902,US-054,187 Ride or Die,Ubisoft,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8F3523E) Retail,Thu Jun 23 21:14:51 2005,3765060CC9E9F2363E44D98D60F4444D
0x54540001,1414791169,TT-001,4X4 EVO 2,Take-Two Interactive Software,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8ED4E4F) Retail,Sat Oct 06 04:51:54 2001,98332FB86CE01370B242607322168672
0x56550042,1448411202,VU-066,50 Cent: Bulletproof,Vivendi Universal Games,(7) PAL + Japan + USA / Canada,(2) M - Mature,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive,(0xA8FD47DF) Retail,Sat Oct 08 06:54:21 2005,11818733452E3B981E4B9C28450237AD
0x58500001,1481637889,XP-001,<«,XPEC Entertainment,(2) Japan,(0) RP - ALL,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8E01160) Retail,Sat Apr 03 08:07:07 2004,5B25B09445AC92845031981AFA455143
0x545100F5,1414594805,TQ-245,AFL Live Premiership Edition,THQ,(4) PAL,(0) RP - ALL,0x00000002,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8DF5C59) Retail,Thu Aug 11 18:24:32 2005,2E0B7BF0BA953A911ECB1BF092F45FAF
0x4541000D,1161887757,EA-013,Agent Under Fire ",Electronic Arts (EA),(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FE799E) Retail,Fri Feb 22 08:02:51 2002,FF55C0B0C86FE26A20926418B97B4EE7
0x41430007,1094909959,AC-007,Aggressive Inline,Acclaim Entertainment,(1) USA / Canada,(3) T - Teen,0x00000001,(0x00000002) XBOX DVD,(0x00000001) Mount Utility Drive,(0xA8F34488) Retail,Tue Jul 16 07:09:38 2002,08EDD09F4834C32F99BADBFFC42A8BC7
0x41560049,1096155209,AV-073,American Wasteland,Activision,(7) PAL + Japan + USA / Canada,(3) T - Teen,0x00000001,(0x00000202) MEDIA_BOARD? + XBOX DVD,(0x00000004) 64MB RAM limit,(0xA8DA51B9) Retail,Thu Sep 15 06:35:19 2005,7267C67190F2078DB47557DBFD32C019
0x4D530005,1297285125,MS-005,Amped,Microsoft Game Studios,(4) PAL,(0) RP - ALL,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8FD0C91) Retail,Fri Jan 18 23:07:21 2002,FD39E26B316F1C449686BE576B998F28
0x4D530041,1297285185,MS-065,Amped 2,Microsoft Game Studios,(1) USA / Canada,(4) E - Everyone,0x00000001,(0x00000002) XBOX DVD,(0x00000005) 64MB RAM limit + Mount Utility Drive,(0xA8D91F32) Retail,Wed Oct 08 07:13:27 2003,C57E3D89D4821D967CEC52C71F76ED61
